week,day,date,topic,prepare,lecture,section,homework,exams,project
0,Fri,8/28/26,Welcome to STAT 100,quiz00.html,,,,,
1,Wed,9/2/26,Introduction to Toolkit,read01b.html,01b-intro-tools.html,,hw01.html,,
,Wed-Fri,,Introduction to Toolkit,,,sec01.html,,,
2,Mon,9/7/26,NO CLASS - Labor Day,,,,,,
,Wed,9/9/26,Introduction to Data,read02b.html,02b-intro-data.html,,hw02.html,,
,Wed-Fri,,Introduction to Data,,,sec02.html,,,
3,Mon,9/14/26,Data Visualization,read03a.html,03a-visualize-data.html,,,,
,Wed,9/16/26,Data Representations,read03b.html,"03b-represent-data.html, 03b-handout-alt-text.pdf",,hw03.html,,
,Wed-Fri,,Data Representations,,,sec03.html,,,
4,Mon,9/21/26,Wrangling Variables ,read04a.html,04a-wrangle-variables.html,,,,
,Wed,9/23/26,Wrangling Variables (continued),,"04b-handout-wrangle-variables.pdf, 04b-handout-wrangle-variables-key.pdf",,hw04.html,,
,Wed-Fri,,Wrangling Variables ,,,sec04.html,,,
5,Mon,9/28/26,"Dealing with Strings, Dates, and Factors","read05a.html, quiz04c.html",05a-specific-variables.html,,,,
,Wed,9/30/26,Wrangling Datasets,read05b.html,05b-wrangle-datasets.html,,,,
,Wed-Fri,,,,,sec05.html,,,
